,date,usd_price
3174,2012-07-05,82.80999755859375
3175,2012-07-06,83.29000091552734
3176,2012-07-09,83.16000366210938
3177,2012-07-10,83.36000061035156
3178,2012-07-11,83.56999969482422
3179,2012-07-12,83.6500015258789
3180,2012-07-13,83.30000305175781
3181,2012-07-16,83.08999633789062
3182,2012-07-17,83.02999877929688
3183,2012-07-18,82.94999694824219
3184,2012-07-19,82.9000015258789
3185,2012-07-20,83.47000122070312
3186,2012-07-23,83.70999908447266
3187,2012-07-24,84.01000213623047
3188,2012-07-25,83.5199966430664
3189,2012-07-26,82.80999755859375
3190,2012-07-27,82.70999908447266
3191,2012-07-30,82.79000091552734
3192,2012-07-31,82.63999938964844
3193,2012-08-01,83.05999755859375
3194,2012-08-02,83.33000183105469
3195,2012-08-03,82.37999725341797
3196,2012-08-06,82.2699966430664
3197,2012-08-07,82.20999908447266
3198,2012-08-08,82.38999938964844
3199,2012-08-09,82.63999938964844
3200,2012-08-10,82.55000305175781
3201,2012-08-13,82.44000244140625
3202,2012-08-14,82.4800033569336
3203,2012-08-15,82.6500015258789
3204,2012-08-16,82.36000061035156
3205,2012-08-17,82.5999984741211
3206,2012-08-20,82.45999908447266
3207,2012-08-21,81.91000366210938
3208,2012-08-22,81.48999786376953
3209,2012-08-23,81.36000061035156
3210,2012-08-24,81.58999633789062
3211,2012-08-27,81.66000366210938
3212,2012-08-28,81.37000274658203
3213,2012-08-29,81.55000305175781
3214,2012-08-30,81.68000030517578
3215,2012-08-31,81.25
3216,2012-09-04,81.31999969482422
3217,2012-09-05,81.23999786376953
3218,2012-09-06,81.08000183105469
3219,2012-09-07,80.25
3220,2012-09-10,80.36000061035156
3221,2012-09-11,79.86000061035156
3222,2012-09-12,79.73999786376953
3223,2012-09-13,79.26000213623047
3224,2012-09-14,78.8499984741211
3225,2012-09-17,79.01000213623047
3226,2012-09-18,79.25
3227,2012-09-19,79.05999755859375
3228,2012-09-20,79.41000366210938
3229,2012-09-21,79.33000183105469
3230,2012-09-24,79.5199966430664
3231,2012-09-25,79.55000305175781
3232,2012-09-26,79.88999938964844
3233,2012-09-27,79.55000305175781
3234,2012-09-28,79.94000244140625
3235,2012-10-01,79.81999969482422
3236,2012-10-02,79.73999786376953
3237,2012-10-03,79.97000122070312
3238,2012-10-04,79.3499984741211
3239,2012-10-05,79.33999633789062
3240,2012-10-08,79.54000091552734
3241,2012-10-09,79.94999694824219
3242,2012-10-10,79.91999816894531
3243,2012-10-11,79.77999877929688
3244,2012-10-12,79.69000244140625
3245,2012-10-15,79.73999786376953
3246,2012-10-16,79.37000274658203
3247,2012-10-17,79.0199966430664
3248,2012-10-18,79.37000274658203
3249,2012-10-19,79.63999938964844
3250,2012-10-22,79.6500015258789
3251,2012-10-23,79.9800033569336
3252,2012-10-24,79.97000122070312
3253,2012-10-25,80.04000091552734
3254,2012-10-26,80.06999969482422
3255,2012-10-31,79.91999816894531
3256,2012-11-01,80.05000305175781
3257,2012-11-02,80.58999633789062
3258,2012-11-05,80.75
